Date,Cash,Accounts Receivable,Inventory,Current Liabilities,Current Assets
2012-04-03,"$50000","$39553","$12605","-$13132","$89026"
2012-04-04,"$53955","$35598","$12605","-$13132","$89026"
2012-04-05,"$57515","$32038","$12605","-$13132","$89026"
2012-04-06,"$39166","$37354","$7871","-$13132","$71259"
2012-04-07,"$42902","$33618","$7871","-$13132","$71259"
2012-04-08,"$47099","$37773","$3695","-$12961","$75605"
2012-04-09,"$50877","$33995","$6723","-$15989","$75605"
2012-04-10,"$54277","$30595","$10290","-$19556","$75605"
2012-04-11,"$53958","$27535","$10290","-$16177","$75605"
2012-04-12,"$56712","$24781","$10290","-$16177","$75605"
2012-04-13,"$60861","$37332","$1940","-$16177","$83955"
2012-04-14,"$64936","$36674","$3713","-$19658","$85664"
2012-04-15,"$68604","$33006","$6603","-$22548","$85664"
2012-04-16,"$48260","$30768","$8746","-$24019","$63754"
2012-04-17,"$51792","$31781","$6474","-$24019","$66027"
2012-04-18,"$56386","$41346","$1785","-$26410","$73106"
2012-04-19,"$60521","$37211","$7048","-$31673","$73106"
2012-04-20,"$64243","$33489","$7048","-$31673","$73106"
2012-04-21,"$65796","$30140","$7048","-$29877","$73106"
2012-04-22,"$68810","$27126","$7048","-$29877","$73106"
2012-04-23,"$71523","$24413","$7048","-$29877","$73106"
2012-04-24,"$73965","$21971","$7048","-$29877","$73106"
2012-04-25,"$76163","$19773","$7048","-$29877","$73106"
2012-04-26,"$76495","$17795","$7048","-$28231","$73106"
2012-04-27,"$78275","$16015","$7048","-$28231","$73106"
2012-04-28,"$79915","$14756","$6858","-$28231","$73297"
2012-04-29,"$81391","$13280","$11104","-$32477","$73297"
2012-04-30,"$84701","$29784","$1197","-$32477","$83204"
2012-05-01,"$85773","$28184","$2797","-$32784","$83970"
2012-05-02,"$88592","$25365","$9581","-$42568","$80970"
2012-05-03,"$91129","$22828","$9581","-$42568","$80970"
2012-05-04,"$93412","$20545","$9581","-$42568","$80970"
2012-05-05,"$96391","$26811","$4958","-$42568","$85592"
2012-05-06,"$73939","$24129","$7124","-$42100","$63092"
2012-05-07,"$76352","$21716","$7124","-$42100","$63092"
2012-05-08,"$79722","$30321","$1137","-$41860","$69319"
2012-05-09,"$82755","$27288","$5769","-$46492","$69319"
2012-05-10,"$87028","$38455","$3670","-$52113","$77039"
2012-05-11,"$84577","$36662","$8471","-$51531","$78179"
2012-05-12,"$88244","$32995","$8471","-$51531","$78179"
2012-05-13,"$93167","$44300","$357","-$51531","$86293"
2012-05-14,"$97597","$39870","$3784","-$54958","$86293"
2012-05-15,"$101982","$39465","$6774","-$59938","$88283"
2012-05-16,"$79056","$35518","$9439","-$58230","$65783"
2012-05-17,"$83474","$39762","$5108","-$58230","$70114"
2012-05-18,"$87451","$35785","$12037","-$65159","$70114"
2012-05-19,"$91030","$32206","$12037","-$65159","$70114"
2012-05-20,"$94251","$28985","$12037","-$65159","$70114"
2012-05-21,"$92564","$26086","$12037","-$60573","$70114"
2012-05-22,"$95173","$23477","$12037","-$60573","$70114"
2012-05-23,"$97521","$21129","$12037","-$60573","$70114"
2012-05-24,"$99634","$19016","$12037","-$60573","$70114"
2012-05-25,"$101536","$17114","$12037","-$60573","$70114"
2012-05-26,"$99044","$15402","$12037","-$56369","$70114"
2012-05-27,"$102412","$30312","$2898","-$56369","$79253"
2012-05-28,"$105444","$27280","$8139","-$61610","$79253"
2012-05-29,"$108627","$28644","$5866","-$61610","$81527"
2012-05-30,"$111492","$25779","$9239","-$64983","$81527"
2012-05-31,"$109499","$23201","$9239","-$60412","$81527"
2012-06-01,"$112474","$26766","$5969","-$60412","$84797"
2012-06-02,"$115693","$28965","$6949","-$67101","$84506"
2012-06-03,"$121070","$48391","$240","-$72794","$96907"
2012-06-04,"$125910","$43551","$7012","-$79566","$96907"
2012-06-05,"$130266","$39195","$7012","-$79566","$96907"
2012-06-06,"$106149","$35275","$7012","-$74029","$74407"
2012-06-07,"$109677","$31747","$7012","-$74029","$74407"
2012-06-08,"$112914","$29131","$6702","-$73785","$74962"
2012-06-09,"$116205","$29611","$9394","-$78363","$76847"
2012-06-10,"$119167","$26649","$9394","-$78363","$76847"
2012-06-11,"$113619","$23984","$9394","-$70150","$76847"
2012-06-12,"$116018","$21585","$9394","-$70150","$76847"
2012-06-13,"$118177","$19426","$9394","-$70150","$76847"
2012-06-14,"$120120","$17483","$9394","-$70150","$76847"
2012-06-15,"$121869","$15734","$9394","-$70150","$76847"
2012-06-16,"$97699","$29980","$605","-$65148","$63136"
2012-06-17,"$100697","$26982","$4024","-$68567","$63136"
2012-06-18,"$103692","$26948","$5296","-$71319","$64617"
2012-06-19,"$106387","$24253","$12264","-$78287","$64617"
2012-06-20,"$108813","$21827","$12264","-$78287","$64617"
2012-06-21,"$105316","$19644","$12264","-$72607","$64617"
2012-06-22,"$109587","$38437","$732","-$72607","$76149"
2012-06-23,"$113506","$35267","$6900","-$79150","$76523"
2012-06-24,"$117033","$31740","$10637","-$82887","$76523"
2012-06-25,"$120207","$28566","$10637","-$82887","$76523"
2012-06-26,"$117001","$25709","$10637","-$76824","$76523"
2012-06-27,"$120689","$33192","$5052","-$76824","$82109"
2012-06-28,"$124009","$29872","$10489","-$82261","$82109"
2012-06-29,"$128301","$38627","$3965","-$82261","$88632"
2012-06-30,"$132164","$34764","$8432","-$86728","$88632"
2012-07-01,"$129931","$37342","$5068","-$80345","$91996"
2012-07-02,"$133666","$33607","$7110","-$85387","$88996"
2012-07-03,"$137027","$30246","$7110","-$85387","$88996"
2012-07-04,"$140052","$27221","$7110","-$85387","$88996"
2012-07-05,"$143328","$29484","$4341","-$85387","$91766"
2012-07-06,"$117556","$27314","$7329","-$82501","$69698"
2012-07-07,"$121010","$31079","$3720","-$82501","$73308"
2012-07-08,"$125228","$37955","$2363","-$86508","$79037"
2012-07-09,"$129024","$34159","$6006","-$90151","$79037"
2012-07-10,"$133833","$43279","$2024","-$93134","$86002"
2012-07-11,"$128143","$38951","$8229","-$89322","$86002"
2012-07-12,"$132325","$37635","$6796","-$89322","$87435"
2012-07-13,"$136089","$33871","$13267","-$95793","$87435"
2012-07-14,"$139477","$30483","$13267","-$95793","$87435"
2012-07-15,"$142526","$27434","$13267","-$95793","$87435"
2012-07-16,"$117236","$39134","$5243","-$88654","$72959"
2012-07-17,"$121150","$35220","$7549","-$90960","$72959"
2012-07-18,"$124672","$31698","$7549","-$90960","$72959"
2012-07-19,"$127842","$28528","$7549","-$90960","$72959"
2012-07-20,"$130695","$25675","$7549","-$90960","$72959"
2012-07-21,"$126527","$23107","$7549","-$84224","$72959"
2012-07-22,"$130171","$32793","$884","-$84224","$79624"
2012-07-23,"$133879","$33370","$2092","-$87575","$81767"
2012-07-24,"$137216","$30033","$6055","-$91538","$81767"
2012-07-25,"$140220","$27029","$9948","-$95431","$81767"
2012-07-26,"$135814","$24326","$9948","-$88322","$81767"
2012-07-27,"$138247","$21893","$9948","-$88322","$81767"
